9.12869,-4.60586,5.18894,-3.57586,-8.1859,0.264955,-2.46274,4.272,-6.02345,9.64403,-5.67748,-9.80446,-5.06775
-4.60586,-9.60648,5.60704,-2.49752,3.37059,-4.98724,-6.03748,-3.99153,5.52804,4.48683,9.68991,-9.89273,4.17313
5.18894,5.60704,0.0208723,-6.29843,1.30865,-8.0366,-3.69852,7.41622,3.77504,1.50755,4.47222,0.37962,9.58719
-3.57586,-2.49752,-6.29843,-3.0685,4.26949,7.23568,7.60722,-4.29492,-1.61549,0.443116,4.34267,5.13241,-6.65923
-8.1859,3.37059,1.30865,4.26949,3.76406,1.95104,-5.28001,0.37405,-0.550134,9.75635,-1.43656,2.86851,-7.60669
0.264955,-4.98724,-8.0366,7.23568,1.95104,7.84358,2.71702,4.10978,-1.72844,-7.98086,9.37949,2.5277,-0.931175
-2.46274,-6.03748,-3.69852,7.60722,-5.28001,2.71702,1.5079,6.94061,-8.03213,-9.14199,0.463709,0.276801,6.04448
4.272,-3.99153,7.41622,-4.29492,0.37405,4.10978,6.94061,-9.24778,-6.52844,-1.88348,-7.07625,-3.67889,3.0608
-6.02345,5.52804,3.77504,-1.61549,-0.550134,-1.72844,-8.03213,-6.52844,-3.94132,7.65764,-8.20353,-7.94858,0.212002
9.64403,4.48683,1.50755,0.443116,9.75635,-7.98086,-9.14199,-1.88348,7.65764,2.875,-6.15254,-5.54044,-3.56512
-5.67748,9.68991,4.47222,4.34267,-1.43656,9.37949,0.463709,-7.07625,-8.20353,-6.15254,-8.06474,-4.97639,-7.54109
-9.80446,-9.89273,0.37962,5.13241,2.86851,2.5277,0.276801,-3.67889,-7.94858,-5.54044,-4.97639,-1.70625,4.32332
-5.06775,4.17313,9.58719,-6.65923,-7.60669,-0.931175,6.04448,3.0608,0.212002,-3.56512,-7.54109,4.32332,-8.63361
