6.97547,-7.59031,3.52888,-8.48327,8.65143,8.31761,0.336035,-6.53307,-4.44499,5.8601
-7.59031,-4.31869,8.11535,-1.00485,-9.28442,-2.19272,0.669176,0.948449,-2.66918,-5.25084
3.52888,8.11535,-0.685094,8.90059,-9.8153,-6.72786,8.33527,-5.82802,-0.144787,5.24525
-8.48327,-1.00485,8.90059,-0.362373,-0.831438,2.86777,-0.356915,-4.86395,2.04666,-0.397536
8.65143,-9.28442,-9.8153,-0.831438,4.43009,-3.08294,-7.01126,8.58204,-0.0750912,-7.37012
8.31761,-2.19272,-6.72786,2.86777,-3.08294,-3.66693,-8.20023,3.77268,7.34275,-9.62264
0.336035,0.669176,8.33527,-0.356915,-7.01126,-8.20023,-4.02384,2.50863,-0.637492,9.37919
-6.53307,0.948449,-5.82802,-4.86395,8.58204,3.77268,2.50863,4.72414,8.43622,2.78123
-4.44499,-2.66918,-0.144787,2.04666,-0.0750912,7.34275,-0.637492,8.43622,1.81983,-5.6482
5.8601,-5.25084,5.24525,-0.397536,-7.37012,-9.62264,9.37919,2.78123,-5.6482,-0.163044
