-1.44578,8.9997,0.29554,-9.63779,2.25408,0.777494,-4.72728,9.90924,0.510037,-0.0869322,-7.91391,-2.34668
8.9997,7.27338,-4.7351,-7.62063,2.21332,-1.08137,-4.25358,-0.432776,-2.77416,-1.83515,5.63663,0.957708
0.29554,-4.7351,6.4193,6.3046,7.60582,-1.78317,8.8824,7.22093,-5.20465,-7.16733,6.38619,7.81222
-9.63779,-7.62063,6.3046,8.98908,2.10951,3.72849,5.76876,-5.86713,0.0938375,1.68968,-6.13306,-4.43661
2.25408,2.21332,7.60582,2.10951,-7.40972,-7.71827,4.3016,-2.54128,-2.74159,-1.12909,7.33385,4.76072
0.777494,-1.08137,-1.78317,3.72849,-7.71827,-8.00626,7.46239,-4.37058,-3.90666,5.04927,1.32834,7.92588
-4.72728,-4.25358,8.8824,5.76876,4.3016,7.46239,-4.96296,-1.56717,-8.96931,-6.63097,-5.79272,-6.8426
9.90924,-0.432776,7.22093,-5.86713,-2.54128,-4.37058,-1.56717,-3.1396,0.982159,-4.3605,-7.36188,6.66579
0.510037,-2.77416,-5.20465,0.0938375,-2.74159,-3.90666,-8.96931,0.982159,-4.82645,-5.71601,-0.373227,6.92257
-0.0869322,-1.83515,-7.16733,1.68968,-1.12909,5.04927,-6.63097,-4.3605,-5.71601,-4.61568,-6.64802,2.92936
-7.91391,5.63663,6.38619,-6.13306,7.33385,1.32834,-5.79272,-7.36188,-0.373227,-6.64802,-0.52119,-1.56514
-2.34668,0.957708,7.81222,-4.43661,4.76072,7.92588,-6.8426,6.66579,6.92257,2.92936,-1.56514,-1.06559
